cpu_usage_percent,ram_usage_percent,active_processes,net_bytes_sent,net_bytes_received,is_phone_present
9.5,68.5,349,603238016,41558755,1
8.6,68.4,349,603306580,41569329,1
15.3,68.6,350,603378393,41579438,1
16.6,68.5,348,603453170,41589098,1
13.7,68.7,349,603520547,41605748,1
14.9,68.8,351,603584941,41625370,1
12.3,68.4,350,603656981,41640666,1
20.5,68.6,352,603826438,41647973,1
14.7,68.6,351,604315662,41661267,1
8.6,68.6,351,604903363,41681621,1
13.2,68.6,352,605321358,41701549,0
13.5,68.7,354,605446703,41736849,0
17.4,68.9,354,605500401,41788966,0
9.6,68.8,354,605546458,42083354,0
14.3,68.9,354,605556259,42140265,0
10.6,69.2,359,605604435,42153315,0
14.5,69.1,354,605688291,42165383,1
10.5,69.0,355,605688333,42168486,1
8.3,69.0,355,605688621,42170447,1
11.1,69.0,356,605689653,42172897,1
8.6,69.0,356,605697354,42251151,1
9.1,69.1,360,605698143,42254595,1
11.6,69.1,357,605701787,42259635,1
9.2,68.7,355,605702333,42263584,1
9.2,68.7,356,605704110,42270249,1
8.8,68.7,356,605705859,42272087,1
14.6,68.8,358,605707964,42288115,1
6.7,68.7,358,605718360,42313746,1
16.8,68.6,363,605721630,42319955,1
14.1,68.4,359,605723424,42328562,1
9.9,68.5,364,605729341,42342442,1
5.9,68.5,358,605731212,42352062,1
6.3,68.6,359,605731309,42355226,1
4.2,68.6,359,605732661,42361898,1
15.8,68.7,362,605736682,43229350,1
4.7,68.7,364,605738825,43241942,1
3.8,68.6,363,605740470,43248762,1
14.0,68.8,365,605750365,43262643,1
2.9,68.5,363,605751595,43268569,1
6.8,68.6,363,605753091,43282343,1
4.2,68.5,363,605753769,43288657,1
10.7,69.0,365,605767000,43306391,1
12.2,69.1,364,605778876,43327615,1
14.1,69.0,368,605790132,43339566,1
8.7,68.9,364,605815493,43356956,1
2.5,68.8,365,605827978,43366226,1
6.1,68.9,365,605831669,43379252,1
9.9,69.0,366,605831779,43384034,1
8.2,68.4,366,605833072,43392461,1
6.1,68.3,370,605835129,43397337,1
21.4,69.8,369,605847632,43426221,1
2.6,69.7,368,605859962,43437948,1
14.1,69.7,370,605873729,43471927,1
7.7,69.4,369,605876712,43476234,1
3.8,69.4,372,605876878,43488150,1
5.8,69.8,375,605879201,43504676,1
10.8,69.6,375,605881161,43515928,1
12.3,70.7,375,605885278,43531730,1
7.5,71.4,376,605911623,43569346,1
3.9,71.3,375,605912460,43582612,1
17.8,71.3,379,605915119,43597048,1
8.7,71.3,376,605920265,43613471,1
4.8,71.3,376,605922661,43618511,1
13.5,71.5,376,605965263,50068844,1
9.0,71.7,378,605972221,50213893,0
12.5,72.0,379,605972445,50219307,0
4.1,71.6,376,605972887,50227173,0
6.0,71.7,378,605975674,50243220,0
5.0,71.6,378,605976509,50252135,0
4.5,71.7,378,605979172,50263420,0
22.2,72.3,381,605987686,50275526,0
11.9,72.1,382,605987798,50281217,0
6.8,72.0,380,605988365,50285112,0
6.8,72.2,382,605988544,50293100,1
7.2,72.3,385,605989935,50307143,1
5.8,72.4,383,605991440,50313285,1
12.7,72.3,385,605992149,50316341,1
6.7,72.2,384,605994484,50325075,1
7.5,73.1,383,605995130,50330458,1
7.5,73.2,384,606001192,50333899,1
5.1,70.4,383,606006831,50406283,1
13.7,70.1,382,606010811,50421514,1
9.0,70.1,382,606010989,50431631,1
8.3,71.2,386,606036754,50515729,1
6.1,71.3,391,606037574,50523018,1
6.0,71.2,386,606039504,50534245,1
10.7,71.1,386,606041005,50542803,1
6.0,70.6,384,606041648,50552457,1
5.2,70.6,386,606041868,50562812,1
15.3,70.8,388,606042852,50569783,1
5.2,70.6,387,606043127,50571542,1
13.1,70.8,389,606046102,50582704,1
1.6,70.6,388,606046393,50595184,1
11.2,70.7,389,606058998,50614355,1
11.2,71.2,390,606065563,50632331,1
5.9,71.9,390,606066543,50636190,1
2.0,70.1,387,606068689,50644981,1
4.0,69.8,388,606069015,50647910,1
3.2,69.8,388,606069464,50654275,1
16.6,70.0,392,606079347,50683569,1
4.2,69.8,388,606079893,50695769,1
6.0,70.7,390,606106472,50787479,1
16.4,70.9,391,606117616,50808963,1
9.8,70.9,392,606120530,50812804,1
10.3,71.0,394,606120530,50817017,1
3.7,70.5,393,606121686,50820600,1
8.4,70.7,395,606122386,50825406,1
14.1,70.9,394,606125289,50839094,1
6.2,69.8,393,606125811,50848221,1
4.1,69.7,393,606127098,50855730,1
6.9,69.7,394,606127486,50857631,1
7.0,69.5,394,606128294,50860919,1
7.8,69.4,395,606128404,50863617,1
10.7,69.7,395,606130549,50875151,1
3.7,69.7,396,606132546,50887833,1
2.7,69.6,396,606133083,50891348,1
7.8,69.5,397,606133859,50898270,1
9.4,69.6,397,606136548,50912540,1
5.6,69.0,397,606139486,50918841,1
12.3,69.3,399,606139486,50924195,1
3.6,69.4,398,606143419,50941969,1
15.4,69.7,400,606143932,50949325,1
19.1,69.5,400,606154361,50957741,1
2.9,69.5,401,607827123,50974194,1
1.4,69.3,401,608288303,51002804,1
7.8,69.1,402,608290466,51008368,1
6.4,69.0,402,608291347,51017033,1
9.2,69.1,406,608291736,51020847,1
2.7,69.1,402,608291736,51023533,1
5.4,69.0,402,608294958,51029568,1
8.8,69.5,406,608301384,51039695,1
4.1,69.4,406,608310541,51052186,1
10.3,69.5,407,608310638,51215460,1
9.8,70.9,409,608318291,51382604,1
14.1,70.8,410,608352776,51412161,1
9.2,70.6,409,608361397,51426920,1
10.3,70.5,414,608376466,51455649,1
7.7,70.2,409,608388506,51484088,1
11.2,70.3,410,608398850,51496572,1
7.6,70.3,410,608417626,51583968,1
6.0,70.3,410,608425541,51598393,1
24.4,70.3,412,608439286,51619364,1
2.4,69.8,409,608455494,51635109,1
11.2,70.0,411,608455987,51636741,1
5.0,69.7,411,608456412,51642004,1
5.1,69.8,412,608456524,51643979,1
6.3,69.8,411,608456862,51646312,1
14.4,70.0,415,608465652,51675933,1
1.5,69.8,415,608465709,51680178,1
8.6,69.9,416,608467772,51691286,1
6.9,70.3,415,608497563,51733660,1
6.5,70.2,416,608499246,51740415,1
5.0,70.3,418,608499634,51745314,1
4.1,70.0,417,608501720,51755627,1
7.1,70.1,419,608504426,51770526,1
3.1,69.9,418,608504661,51775415,1
3.4,69.9,419,608504875,51781093,1
5.5,69.9,419,608506559,51792533,1
10.4,69.9,420,608507567,51796581,1
4.8,69.8,418,608509781,51811230,1
9.0,69.8,422,608509836,51815230,1
